Date,Real GDP
1/1/1960,3.47E+12
1/1/1961,3.69E+12
1/1/1962,3.85E+12
1/1/1963,4.05E+12
1/1/1964,4.26E+12
1/1/1965,4.62E+12
1/1/1966,4.83E+12
1/1/1967,4.96E+12
1/1/1968,5.20E+12
1/1/1969,5.31E+12
1/1/1970,5.30E+12
1/1/1971,5.53E+12
1/1/1972,5.91E+12
1/1/1973,6.15E+12
1/1/1974,6.03E+12
1/1/1975,6.18E+12
1/1/1976,6.45E+12
1/1/1977,6.77E+12
1/1/1978,7.23E+12
1/1/1979,7.32E+12
1/1/1980,7.32E+12
1/1/1981,7.41E+12
1/1/1982,7.30E+12
1/1/1983,7.88E+12
1/1/1984,8.32E+12
1/1/1985,8.67E+12
1/1/1986,8.92E+12
1/1/1987,9.32E+12
1/1/1988,9.67E+12
1/1/1989,9.94E+12
1/1/1990,1.00E+13
1/1/1991,1.01E+13
1/1/1992,1.06E+13
1/1/1993,1.08E+13
1/1/1994,1.13E+13
1/1/1995,1.15E+13
1/1/1996,1.20E+13
1/1/1997,1.26E+13
1/1/1998,1.32E+13
1/1/1999,1.38E+13
1/1/2000,1.42E+13
1/1/2001,1.43E+13
1/1/2002,1.45E+13
1/1/2003,1.52E+13
1/1/2004,1.57E+13
1/1/2005,1.61E+13
1/1/2006,1.66E+13
1/1/2007,1.69E+13
1/1/2008,1.65E+13
1/1/2009,1.65E+13
1/1/2010,1.70E+13
1/1/2011,1.72E+13
1/1/2012,1.75E+13
1/1/2013,1.80E+13
1/1/2014,1.85E+13
1/1/2015,1.89E+13
1/1/2016,1.93E+13
1/1/2017,1.99E+13
1/1/2018,2.03E+13
1/1/2019,2.10E+13
