Date,TFP
1/1/1960,0.700092673
1/1/1961,0.706703365
1/1/1962,0.722348928
1/1/1963,0.73288095
1/1/1964,0.744385958
1/1/1965,0.756097019
1/1/1966,0.767623067
1/1/1967,0.764241934
1/1/1968,0.774371684
1/1/1969,0.769106567
1/1/1970,0.764869034
1/1/1971,0.78002733
1/1/1972,0.792260706
1/1/1973,0.803115427
1/1/1974,0.78133899
1/1/1975,0.782213509
1/1/1976,0.797578096
1/1/1977,0.802896917
1/1/1978,0.807619512
1/1/1979,0.801628113
1/1/1980,0.787552893
1/1/1981,0.792512655
1/1/1982,0.77743268
1/1/1983,0.79294014
1/1/1984,0.810300171
1/1/1985,0.817006946
1/1/1986,0.825847685
1/1/1987,0.826187909
1/1/1988,0.834051609
1/1/1989,0.83821857
1/1/1990,0.841928661
1/1/1991,0.839171886
1/1/1992,0.860028744
1/1/1993,0.861171067
1/1/1994,0.866266727
1/1/1995,0.864629567
1/1/1996,0.872309804
1/1/1997,0.880115211
1/1/1998,0.888782203
1/1/1999,0.90098244
1/1/2000,0.910176218
1/1/2001,0.911842167
1/1/2002,0.924097717
1/1/2003,0.941850126
1/1/2004,0.95823288
1/1/2005,0.968732178
1/1/2006,0.969310284
1/1/2007,0.96743232
1/1/2008,0.961096525
1/1/2009,0.961387634
1/1/2010,0.977156579
1/1/2011,0.975211143
1/1/2012,0.977661967
1/1/2013,0.979491353
1/1/2014,0.984051287
1/1/2015,0.992892742
1/1/2016,0.993723631
1/1/2017,1
1/1/2018,1.008165956
1/1/2019,1.016796231
