Date,emp,cgdpo,cn
1960,71,3540699,14693844
1961,71,3630273,15186402
1962,72,3852552,15740184
1963,73,4019659,16341326
1964,75,4252924,17002892
1965,77,4528655,17730896
1966,79,4827972,18508464
1967,81,4959432,19240100
1968,82,5203598,19990780
1969,84,5366857,20734944
1970,85,5378397,21379222
1971,85,5554756,22033434
1972,87,5847313,22780352
1973,90,6179186,23606832
1974,91,6145901,24311020
1975,90,6134045,24845978
1976,93,6464280,25479700
1977,96,6764340,26253466
1978,100,7138521,27175102
1979,103,7364005,28144408
1980,103,7341787,28952350
1981,104,7524190,29738416
1982,103,7380425,30368476
1983,105,7713319,31093094
1984,109,8265619,32068474
1985,111,8608782,33126930
1986,114,8902163,34181908
1987,117,9207579,35208520
1988,119,9586360,36224080
1989,122,9932078,37241976
1990,123,10110408,38181020
1991,122,10093921,38943404
1992,122,10444359,39749448
1993,123,10730839,40619168
1994,126,11162312,41576692
1995,127,11461592,42588924
1996,129,11893809,43715280
1997,132,12424660,44934620
1998,135,12980315,46303492
1999,137,13596571,47787512
2000,139,14156661,49329068
2001,139,14295339,50696672
2002,138,14540255,51888828
2003,139,14954228,53147924
2004,140,15523249,54536708
2005,142,16070041,56048904
2006,145,16525906,57539900
2007,146,16835740,58882244
2008,146,16808304,59952004
2009,141,16380414,60486828
2010,141,16800636,61035260
2011,142,17060996,61657100
2012,145,17444592,62424364
2013,146,17765868,63225060
2014,148,18214814,64118460
2015,150,18775850,65053528
2016,152,19096542,65971316
2017,155,19542980,66940280
2018,157,20128448,68005664
2019,158,20566034,69059488
