Date,TFP
1960-01-01,100.00000
1961-01-01,100.94426
1962-01-01,103.17904
1963-01-01,104.68342
1964-01-01,106.32677
1965-01-01,107.99956
1966-01-01,109.64592
1967-01-01,109.16297
1968-01-01,110.60988
1969-01-01,109.85782
1970-01-01,109.25254
1971-01-01,111.41773
1972-01-01,113.16512
1973-01-01,114.71559
1974-01-01,111.60508
1975-01-01,111.73000
1976-01-01,113.92465
1977-01-01,114.68438
1978-01-01,115.35894
1979-01-01,114.50314
1980-01-01,112.49266
1981-01-01,113.20111
1982-01-01,111.04711
1983-01-01,113.26217
1984-01-01,115.74184
1985-01-01,116.69983
1986-01-01,117.96262
1987-01-01,118.01122
1988-01-01,119.13446
1989-01-01,119.72966
1990-01-01,120.25960
1991-01-01,119.86583
1992-01-01,122.84499
1993-01-01,123.00815
1994-01-01,123.73601
1995-01-01,123.50216
1996-01-01,124.59919
1997-01-01,125.71410
1998-01-01,126.95208
1999-01-01,128.69474
2000-01-01,130.00796
2001-01-01,130.24592
2002-01-01,131.99648
2003-01-01,134.53221
2004-01-01,136.87229
2005-01-01,138.37199
2006-01-01,138.45457
2007-01-01,138.18632
2008-01-01,137.28133
2009-01-01,137.32291
2010-01-01,139.57532
2011-01-01,139.29744
2012-01-01,139.64751
2013-01-01,139.90881
2014-01-01,140.56015
2015-01-01,141.82304
2016-01-01,141.94173
2017-01-01,142.83823
2018-01-01,144.00464
2019-01-01,145.23738
